IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.237.179,4,2,0.50,204.19,0.00,N/A
172.67.111.212,4,2,0.50,204.80,0.00,N/A
104.19.221.111,4,2,0.50,224.93,0.00,N/A
104.19.58.51,4,1,0.75,146.48,0.00,N/A
104.19.16.142,4,1,0.75,151.90,0.00,N/A
104.19.2.161,4,1,0.75,153.57,0.00,N/A
104.19.112.72,4,1,0.75,154.24,0.00,N/A
104.16.67.131,4,1,0.75,154.39,0.00,N/A
104.18.198.174,4,1,0.75,159.33,0.00,N/A
104.19.240.42,4,1,0.75,160.21,0.00,N/A
104.18.118.179,4,1,0.75,164.03,0.00,N/A
172.67.113.167,4,1,0.75,164.11,0.00,N/A
172.64.35.125,4,1,0.75,165.23,0.00,N/A
104.16.117.156,4,1,0.75,170.46,0.00,N/A
172.66.201.109,4,1,0.75,170.63,0.00,N/A
162.159.195.200,4,1,0.75,170.79,0.00,N/A
104.19.139.54,4,1,0.75,171.81,0.00,N/A
104.19.90.0,4,1,0.75,171.85,0.00,N/A
104.18.25.9,4,1,0.75,172.07,0.00,N/A
162.159.253.42,4,1,0.75,172.57,0.00,N/A
172.66.131.34,4,1,0.75,173.34,0.00,N/A
104.19.65.94,4,1,0.75,175.00,0.00,N/A
104.19.132.146,4,1,0.75,175.43,0.00,N/A
104.16.127.106,4,1,0.75,175.63,0.00,N/A
104.19.62.29,4,1,0.75,178.42,0.00,N/A
104.17.5.251,4,1,0.75,179.29,0.00,N/A
104.16.248.218,4,1,0.75,180.29,0.00,N/A
104.24.166.146,4,1,0.75,180.75,0.00,N/A
104.27.94.82,4,1,0.75,180.85,0.00,N/A
104.19.244.60,4,1,0.75,181.54,0.00,N/A
104.27.71.138,4,1,0.75,183.00,0.00,N/A
172.67.188.6,4,1,0.75,184.24,0.00,N/A
188.114.97.177,4,1,0.75,186.48,0.00,N/A
172.65.109.114,4,1,0.75,188.73,0.00,N/A
104.19.113.179,4,1,0.75,190.92,0.00,N/A
172.66.134.48,4,1,0.75,191.38,0.00,N/A
172.67.243.38,4,1,0.75,193.05,0.00,N/A
104.27.196.42,4,1,0.75,195.43,0.00,N/A
104.25.151.55,4,1,0.75,196.06,0.00,N/A
172.65.87.35,4,1,0.75,198.18,0.00,N/A
104.25.42.41,4,1,0.75,198.44,0.00,N/A
172.65.58.109,4,1,0.75,201.95,0.00,N/A
172.66.196.0,4,1,0.75,202.98,0.00,N/A
104.21.31.28,4,1,0.75,204.91,0.00,N/A
172.65.2.182,4,1,0.75,204.98,0.00,N/A
104.18.210.68,4,1,0.75,205.15,0.00,N/A
104.21.93.16,4,1,0.75,205.16,0.00,N/A
104.21.91.27,4,1,0.75,205.26,0.00,N/A
104.19.239.185,4,1,0.75,205.50,0.00,N/A
172.66.207.96,4,1,0.75,205.71,0.00,N/A
104.24.81.114,4,1,0.75,206.84,0.00,N/A
104.24.173.222,4,1,0.75,207.55,0.00,N/A
104.21.206.41,4,1,0.75,207.65,0.00,N/A
104.25.248.169,4,1,0.75,207.87,0.00,N/A
162.159.137.198,4,1,0.75,209.24,0.00,N/A
104.24.133.201,4,1,0.75,209.32,0.00,N/A
104.26.3.234,4,1,0.75,209.61,0.00,N/A
104.27.66.15,4,1,0.75,213.34,0.00,N/A
104.25.141.136,4,1,0.75,213.39,0.00,N/A
172.65.89.174,4,1,0.75,213.48,0.00,N/A
104.24.199.160,4,1,0.75,213.83,0.00,N/A
104.24.77.151,4,1,0.75,214.27,0.00,N/A
104.24.36.210,4,1,0.75,214.57,0.00,N/A
104.24.41.66,4,1,0.75,214.73,0.00,N/A
104.25.34.67,4,1,0.75,215.21,0.00,N/A
172.67.144.24,4,1,0.75,215.28,0.00,N/A
172.65.5.134,4,1,0.75,216.11,0.00,N/A
104.25.232.117,4,1,0.75,216.31,0.00,N/A
104.20.10.174,4,1,0.75,216.96,0.00,N/A
172.67.221.226,4,1,0.75,218.31,0.00,N/A
104.20.49.120,4,1,0.75,219.44,0.00,N/A
172.67.116.202,4,1,0.75,220.06,0.00,N/A
172.65.232.147,4,1,0.75,220.88,0.00,N/A
172.65.88.8,4,1,0.75,221.30,0.00,N/A
104.24.151.252,4,1,0.75,222.77,0.00,N/A
104.20.51.212,4,1,0.75,223.22,0.00,N/A
172.67.131.133,4,1,0.75,223.27,0.00,N/A
104.16.34.103,4,1,0.75,223.65,0.00,N/A
104.21.223.84,4,1,0.75,225.50,0.00,N/A
104.21.46.110,4,1,0.75,226.18,0.00,N/A
172.67.228.233,4,1,0.75,227.95,0.00,N/A
172.65.187.225,4,1,0.75,228.03,0.00,N/A
162.159.18.41,4,1,0.75,228.24,0.00,N/A
172.67.94.5,4,1,0.75,228.84,0.00,N/A
104.27.195.42,4,1,0.75,229.37,0.00,N/A
104.19.198.129,4,1,0.75,230.86,0.00,N/A
172.65.111.35,4,1,0.75,232.24,0.00,N/A
104.24.190.160,4,1,0.75,232.42,0.00,N/A
104.24.2.1,4,1,0.75,233.06,0.00,N/A
172.67.156.214,4,1,0.75,233.36,0.00,N/A
172.65.17.218,4,1,0.75,233.44,0.00,N/A
104.24.180.200,4,1,0.75,233.75,0.00,N/A
104.16.225.59,4,1,0.75,234.20,0.00,N/A
172.66.177.181,4,1,0.75,241.00,0.00,N/A
104.25.210.151,4,1,0.75,241.29,0.00,N/A
104.25.35.38,4,1,0.75,243.32,0.00,N/A
104.24.224.224,4,1,0.75,243.36,0.00,N/A
104.21.26.32,4,1,0.75,244.21,0.00,N/A
104.21.207.40,4,1,0.75,245.12,0.00,N/A
104.25.120.101,4,1,0.75,247.14,0.00,N/A
104.19.166.154,4,1,0.75,247.61,0.00,N/A
104.18.45.80,4,1,0.75,247.73,0.00,N/A
172.65.6.120,4,1,0.75,249.12,0.00,N/A
172.67.89.88,4,1,0.75,249.27,0.00,N/A
104.27.74.224,4,1,0.75,249.43,0.00,N/A
104.25.88.245,4,1,0.75,249.71,0.00,N/A
104.24.42.197,4,1,0.75,251.30,0.00,N/A
104.24.177.171,4,1,0.75,254.43,0.00,N/A
104.25.199.221,4,1,0.75,254.72,0.00,N/A
104.24.200.206,4,1,0.75,256.75,0.00,N/A
104.24.43.173,4,1,0.75,257.38,0.00,N/A
104.25.254.168,4,1,0.75,260.41,0.00,N/A
104.19.233.189,4,1,0.75,276.50,0.00,N/A
104.19.207.113,4,1,0.75,299.13,0.00,N/A
104.29.146.149,4,1,0.75,304.60,0.00,N/A
104.19.206.125,4,1,0.75,306.50,0.00,N/A
104.16.99.166,4,1,0.75,310.89,0.00,N/A
104.17.22.70,4,1,0.75,312.27,0.00,N/A
104.17.137.89,4,1,0.75,325.39,0.00,N/A
104.17.190.246,4,1,0.75,334.09,0.00,N/A
172.64.41.101,4,1,0.75,338.96,0.00,N/A
104.16.47.196,4,1,0.75,341.39,0.00,N/A
104.18.218.218,4,1,0.75,344.41,0.00,N/A
104.17.93.193,4,1,0.75,344.49,0.00,N/A
104.17.89.90,4,1,0.75,345.02,0.00,N/A
104.18.204.29,4,1,0.75,351.06,0.00,N/A
104.17.124.126,4,1,0.75,358.94,0.00,N/A
104.19.220.125,4,1,0.75,361.21,0.00,N/A
104.17.165.243,4,1,0.75,361.89,0.00,N/A
172.65.204.241,4,1,0.75,362.52,0.00,N/A
104.18.233.116,4,1,0.75,368.95,0.00,N/A
104.16.214.140,4,1,0.75,374.37,0.00,N/A
104.17.32.93,4,1,0.75,381.40,0.00,N/A
104.18.101.27,4,1,0.75,383.62,0.00,N/A
172.64.98.243,4,1,0.75,385.15,0.00,N/A
104.17.216.181,4,1,0.75,386.69,0.00,N/A
172.65.234.208,4,1,0.75,387.79,0.00,N/A
104.17.218.3,4,1,0.75,388.04,0.00,N/A
104.16.238.164,4,1,0.75,388.86,0.00,N/A
104.19.162.83,4,1,0.75,391.64,0.00,N/A
104.17.100.120,4,1,0.75,394.90,0.00,N/A
104.17.168.178,4,1,0.75,395.03,0.00,N/A
162.159.19.240,4,1,0.75,395.27,0.00,N/A
104.18.38.110,4,1,0.75,395.48,0.00,N/A
104.19.186.137,4,1,0.75,395.73,0.00,N/A
104.18.148.116,4,1,0.75,395.89,0.00,N/A
104.17.147.136,4,1,0.75,397.24,0.00,N/A
104.17.229.205,4,1,0.75,400.43,0.00,N/A
104.17.121.84,4,1,0.75,400.75,0.00,N/A
104.18.157.246,4,1,0.75,403.57,0.00,N/A
104.18.244.182,4,1,0.75,406.31,0.00,N/A
104.18.252.144,4,1,0.75,407.09,0.00,N/A
104.16.173.137,4,1,0.75,407.45,0.00,N/A
104.16.172.174,4,1,0.75,410.75,0.00,N/A
104.18.135.29,4,1,0.75,411.09,0.00,N/A
104.19.202.24,4,1,0.75,411.13,0.00,N/A
104.18.193.161,4,1,0.75,411.51,0.00,N/A
198.41.214.93,4,1,0.75,411.70,0.00,N/A
172.65.200.63,4,1,0.75,412.21,0.00,N/A
104.17.162.235,4,1,0.75,412.51,0.00,N/A
172.64.155.146,4,1,0.75,413.43,0.00,N/A
162.159.9.117,4,1,0.75,413.91,0.00,N/A
104.17.148.169,4,1,0.75,414.14,0.00,N/A
104.17.127.167,4,1,0.75,416.97,0.00,N/A
104.16.203.181,4,1,0.75,419.66,0.00,N/A
198.41.223.219,4,1,0.75,420.07,0.00,N/A
104.16.206.183,4,1,0.75,424.56,0.00,N/A
104.17.34.253,4,1,0.75,426.40,0.00,N/A
162.159.21.189,4,1,0.75,433.68,0.00,N/A
162.159.15.98,4,1,0.75,435.92,0.00,N/A
